team,ladder_points,points_for,points_against,points_diff,season,round,ladder_position,comp
Rabbitohs,4,126,292,-166,2024,9,17,NRL
Rabbitohs,2,16,14,2,2025,1,8,NRL
Rabbitohs,4,41,38,3,2025,2,5,NRL
Rabbitohs,4,53,65,-12,2025,3,7,NRL
Rabbitohs,6,81,83,-2,2025,4,7,NRL
Rabbitohs,8,101,97,4,2025,5,5,NRL
Rabbitohs,8,117,121,-4,2025,6,5,NRL
Rabbitohs,8,117,153,-36,2025,7,8,NRL
Rabbitohs,8,133,177,-44,2025,8,11,NRL
Rabbitohs,8,137,207,-70,2025,9,13,NRL
Rabbitohs,2,40,30,10,2026,1,6,NRL
Rabbitohs,2,58,56,2,2026,2,8,NRL
Rabbitohs,4,78,72,6,2026,3,7,NRL
Rabbitohs,6,78,72,6,2026,4,5,NRL
Rabbitohs,8,110,96,14,2026,5,4,NRL
Rabbitohs,8,144,132,12,2026,6,5,NRL
Rabbitohs,10,174,144,30,2026,7,4,NRL
Rabbitohs,10,174,144,30,2026,8,4,NRL
Rabbitohs,10,174,144,30,2026,9,4,NRL
Rabbitohs,14,296,204,92,2026,10,4,NRL
Rabbitohs,14,306,236,70,2026,11,5,NRL
Rabbitohs,14,324,266,58,2026,12,7,NRL
Raiders,2,30,22,8,2016,1,5,NRL
Raiders,4,51,42,9,2016,2,6,NRL
Raiders,5,75,66,9,2016,3,2,NRL
Raiders,5,95,90,5,2016,4,6,NRL
Raiders,7,117,98,19,2016,5,3,NRL
Raiders,7,123,134,-11,2016,6,7,NRL
Raiders,7,139,174,-35,2016,7,7,NRL
Raiders,9,199,180,19,2016,8,7,NRL
Raiders,9,217,199,18,2016,9,6,NRL
Raiders,0,16,20,-4,2017,1,10,NRL
Raiders,0,32,62,-30,2017,2,16,NRL
Raiders,2,78,68,10,2017,3,8,NRL
Raiders,2,90,81,9,2017,4,11,NRL
Raiders,4,120,99,21,2017,5,7,NRL
Raiders,6,162,115,47,2017,6,6,NRL
Raiders,8,182,123,59,2017,7,5,NRL
Raiders,8,200,143,57,2017,8,7,NRL
Raiders,8,210,159,51,2017,9,10,NRL
Raiders,0,28,30,-2,2018,1,10,NRL
Raiders,0,56,60,-4,2018,2,12,NRL
Raiders,0,75,80,-5,2018,3,15,NRL
Raiders,0,91,112,-21,2018,4,15,NRL
Raiders,2,117,122,-5,2018,5,13,NRL
Raiders,4,135,124,11,2018,6,11,NRL
Raiders,4,157,166,-9,2018,7,12,NRL
Raiders,6,175,174,1,2018,8,11,NRL
Raiders,8,207,192,15,2018,9,11,NRL
Raiders,2,21,0,21,2019,1,2,NRL
Raiders,2,31,22,9,2019,2,5,NRL
Raiders,4,48,32,16,2019,3,5,NRL
Raiders,6,78,44,34,2019,4,3,NRL
Raiders,8,97,44,53,2019,5,3,NRL
Raiders,10,123,66,57,2019,6,3,NRL
Raiders,10,143,90,53,2019,7,4,NRL
Raiders,12,173,102,71,2019,8,3,NRL
Raiders,12,197,132,65,2019,9,4,NRL
Raiders,2,24,6,18,2020,1,2,NRL
Raiders,4,44,12,32,2020,2,3,NRL
Raiders,6,66,18,48,2020,3,2,NRL
Raiders,6,84,52,32,2020,4,4,NRL
Raiders,8,98,58,40,2020,5,2,NRL
Raiders,8,104,72,32,2020,6,5,NRL
Raiders,8,128,97,31,2020,7,7,NRL
Raiders,10,150,113,37,2020,8,6,NRL
Raiders,10,164,133,31,2020,9,7,NRL
Raiders,2,30,12,18,2021,1,3,NRL
Raiders,4,42,22,20,2021,2,3,NRL
Raiders,4,73,56,17,2021,3,6,NRL
Raiders,6,93,60,33,2021,4,5,NRL
Raiders,6,103,90,13,2021,5,8,NRL
Raiders,6,113,125,-12,2021,6,9,NRL
Raiders,6,137,151,-14,2021,7,8,NRL
Raiders,6,157,185,-28,2021,8,9,NRL
Raiders,6,173,209,-36,2021,9,12,NRL
Raiders,2,24,19,5,2022,1,6,NRL
Raiders,2,30,45,-15,2022,2,12,NRL
Raiders,4,54,67,-13,2022,3,7,NRL
Raiders,4,60,92,-32,2022,4,12,NRL
Raiders,4,76,122,-46,2022,5,13,NRL
Raiders,4,88,140,-52,2022,6,12,NRL
Raiders,4,94,176,-82,2022,7,15,NRL
Raiders,4,114,197,-83,2022,8,14,NRL
Raiders,6,128,201,-73,2022,9,12,NRL
Raiders,0,18,19,-1,2023,1,10,NRL
Raiders,0,32,39,-7,2023,2,15,NRL
Raiders,2,56,59,-3,2023,3,11,NRL
Raiders,2,70,83,-13,2023,4,16,NRL
Raiders,2,82,136,-54,2023,5,16,NRL
Raiders,4,102,150,-48,2023,6,16,NRL
Raiders,6,122,164,-42,2023,7,14,NRL
Raiders,8,122,164,-42,2023,8,11,NRL
Raiders,10,153,194,-41,2023,9,11,NRL
Raiders,2,28,12,16,2024,1,4,NRL
Raiders,4,60,24,36,2024,2,1,NRL
Raiders,4,70,42,28,2024,3,3,NRL
Raiders,4,92,78,14,2024,4,8,NRL
Raiders,6,133,86,47,2024,5,5,NRL
Raiders,8,154,106,48,2024,6,3,NRL
Raiders,8,164,140,24,2024,7,7,NRL
Raiders,8,164,180,-16,2024,8,10,NRL
Raiders,10,190,204,-14,2024,9,9,NRL
Raiders,2,30,8,22,2025,1,4,NRL
Raiders,4,62,30,32,2025,2,2,NRL
Raiders,4,74,70,4,2025,3,5,NRL
Raiders,4,94,100,-6,2025,4,12,NRL
Raiders,6,118,120,-2,2025,5,7,NRL
Raiders,8,168,132,36,2025,6,4,NRL
Raiders,10,198,152,46,2025,7,3,NRL
Raiders,12,238,180,58,2025,8,3,NRL
Raiders,14,258,198,60,2025,9,2,NRL
Raiders,2,29,28,1,2026,1,8,NRL
Raiders,2,35,68,-33,2026,2,11,NRL
Raiders,2,45,82,-37,2026,3,14,NRL
Raiders,2,67,116,-49,2026,4,15,NRL
Raiders,2,79,148,-69,2026,5,16,NRL
Raiders,4,115,182,-67,2026,6,15,NRL
Raiders,6,141,204,-63,2026,7,13,NRL
Raiders,6,141,204,-63,2026,8,13,NRL
Raiders,6,141,204,-63,2026,9,13,NRL
Raiders,8,201,279,-78,2026,10,12,NRL
Raiders,10,201,279,-78,2026,11,12,NRL
Raiders,10,223,309,-86,2026,12,12,NRL
Roosters,0,10,42,-32,2016,1,16,NRL
Roosters,0,30,63,-33,2016,2,14,NRL
Roosters,0,30,103,-73,2016,3,16,NRL
Roosters,0,50,125,-75,2016,4,16,NRL
Roosters,0,78,157,-79,2016,5,16,NRL
Roosters,2,95,167,-72,2016,6,16,NRL
Roosters,2,111,187,-76,2016,7,16,NRL
Roosters,2,129,207,-78,2016,8,16,NRL
Roosters,4,167,207,-40,2016,9,14,NRL
Roosters,2,32,18,14,2017,1,3,NRL
Roosters,4,60,42,18,2017,2,3,NRL
Roosters,6,74,54,20,2017,3,2,NRL
Roosters,8,94,60,34,2017,4,1,NRL
Roosters,8,106,78,28,2017,5,3,NRL
Roosters,8,114,110,4,2017,6,4,NRL
Roosters,10,138,116,22,2017,7,4,NRL
Roosters,12,151,128,23,2017,8,3,NRL
Roosters,12,164,142,22,2017,9,5,NRL
Roosters,0,8,10,-2,2018,1,11,NRL
Roosters,2,38,22,16,2018,2,7,NRL
Roosters,4,76,30,46,2018,3,3,NRL
Roosters,4,82,60,22,2018,4,7,NRL
Roosters,6,110,70,40,2018,5,5,NRL
Roosters,6,124,96,28,2018,6,6,NRL
Roosters,8,130,96,34,2018,7,7,NRL
Roosters,8,138,120,18,2018,8,8,NRL
Roosters,10,160,140,20,2018,9,6,NRL
Roosters,0,16,26,-10,2019,1,11,NRL
Roosters,2,42,44,-2,2019,2,10,NRL
Roosters,4,74,62,12,2019,3,7,NRL
Roosters,6,110,66,44,2019,4,2,NRL
Roosters,8,140,82,58,2019,5,2,NRL
Roosters,10,161,102,59,2019,6,2,NRL
Roosters,12,181,112,69,2019,7,1,NRL
Roosters,14,223,124,99,2019,8,1,NRL
Roosters,16,253,148,105,2019,9,1,NRL
Roosters,0,14,20,-6,2020,1,10,NRL
Roosters,0,22,29,-7,2020,2,12,NRL
Roosters,2,50,41,9,2020,3,10,NRL
Roosters,4,109,41,68,2020,4,6,NRL
Roosters,6,151,47,104,2020,5,6,NRL
Roosters,8,175,57,118,2020,6,4,NRL
Roosters,10,201,69,132,2020,7,3,NRL
Roosters,10,226,96,130,2020,8,5,NRL
Roosters,12,268,112,156,2020,9,4,NRL
Roosters,2,46,4,42,2021,1,1,NRL
Roosters,4,86,10,76,2021,2,1,NRL
Roosters,4,102,36,66,2021,3,3,NRL
Roosters,6,134,48,86,2021,4,3,NRL
Roosters,8,160,66,94,2021,5,2,NRL
Roosters,8,164,86,78,2021,6,5,NRL
Roosters,10,198,96,102,2021,7,5,NRL
Roosters,12,236,100,136,2021,8,4,NRL
Roosters,12,254,131,123,2021,9,5,NRL
Roosters,0,6,20,-14,2022,1,15,NRL
Roosters,2,32,32,0,2022,2,8,NRL
Roosters,2,48,60,-12,2022,3,13,NRL
Roosters,4,76,64,12,2022,4,6,NRL
Roosters,6,100,84,16,2022,5,5,NRL
Roosters,8,122,98,24,2022,6,5,NRL
Roosters,8,134,112,22,2022,7,6,NRL
Roosters,8,146,128,18,2022,8,7,NRL
Roosters,10,190,144,46,2022,9,6,NRL
Roosters,0,18,28,-10,2023,1,15,NRL
Roosters,2,38,40,-2,2023,2,9,NRL
Roosters,4,58,58,0,2023,3,7,NRL
Roosters,6,58,58,0,2023,4,5,NRL
Roosters,8,86,78,8,2023,5,3,NRL
Roosters,8,94,106,-12,2023,6,7,NRL
Roosters,8,106,128,-22,2023,7,9,NRL
Roosters,10,133,154,-21,2023,8,9,NRL
Roosters,12,147,154,-7,2023,9,5,NRL
Roosters,2,20,10,10,2024,1,6,NRL
Roosters,2,34,31,3,2024,2,8,NRL
Roosters,4,82,37,45,2024,3,2,NRL
Roosters,4,98,59,39,2024,4,7,NRL
Roosters,4,124,89,35,2024,5,10,NRL
Roosters,6,146,109,37,2024,6,9,NRL
Roosters,6,158,127,31,2024,7,11,NRL
Roosters,8,218,145,73,2024,8,7,NRL
Roosters,10,258,163,95,2024,9,6,NRL
Roosters,0,14,50,-36,2025,1,16,NRL
Roosters,2,52,82,-30,2025,2,13,NRL
Roosters,2,58,96,-38,2025,3,14,NRL
Roosters,2,70,126,-56,2025,4,15,NRL
Roosters,2,84,146,-62,2025,5,16,NRL
Roosters,4,110,162,-52,2025,6,15,NRL
Roosters,4,122,202,-80,2025,7,16,NRL
Roosters,6,168,220,-52,2025,8,13,NRL
Roosters,8,204,246,-42,2025,9,11,NRL
Roosters,0,18,42,-24,2026,1,14,NRL
Roosters,2,44,60,-16,2026,2,10,NRL
Roosters,2,48,100,-52,2026,3,15,NRL
Roosters,4,81,116,-35,2026,4,12,NRL
Roosters,6,81,116,-35,2026,5,10,NRL
Roosters,8,115,138,-23,2026,6,8,NRL
Roosters,10,153,162,-9,2026,7,5,NRL
Roosters,10,153,162,-9,2026,8,5,NRL
Roosters,10,153,162,-9,2026,9,5,NRL
Roosters,16,281,214,67,2026,10,3,NRL
Roosters,16,293,232,61,2026,11,3,NRL
Roosters,18,293,232,61,2026,12,3,NRL
Sharks,0,14,20,-6,2016,1,10,NRL
Sharks,2,44,22,22,2016,2,7,NRL
Sharks,2,56,44,12,2016,3,10,NRL
Sharks,4,70,50,20,2016,4,9,NRL
Sharks,6,104,76,28,2016,5,6,NRL
Sharks,8,129,96,33,2016,6,4,NRL
Sharks,10,169,112,57,2016,7,3,NRL
Sharks,12,189,130,59,2016,8,4,NRL
Sharks,14,219,158,61,2016,9,4,NRL
Sharks,0,18,26,-8,2017,1,12,NRL
Sharks,2,60,42,18,2017,2,5,NRL
Sharks,2,70,58,12,2017,3,7,NRL
Sharks,4,90,64,26,2017,4,7,NRL
Sharks,6,109,82,27,2017,5,6,NRL
Sharks,8,120,84,36,2017,6,3,NRL
Sharks,10,148,86,62,2017,7,3,NRL
Sharks,10,160,102,58,2017,8,4,NRL
Sharks,12,182,118,64,2017,9,3,NRL
Sharks,0,14,20,-6,2018,1,12,NRL
Sharks,0,30,40,-10,2018,2,13,NRL
Sharks,2,44,44,0,2018,3,11,NRL
Sharks,4,58,48,10,2018,4,9,NRL
Sharks,4,68,76,-8,2018,5,11,NRL
Sharks,4,88,116,-28,2018,6,13,NRL
Sharks,6,114,138,-24,2018,7,9,NRL
Sharks,8,124,147,-23,2018,8,9,NRL
Sharks,10,146,167,-21,2018,9,8,NRL
Sharks,0,8,14,-6,2019,1,9,NRL
Sharks,2,28,20,8,2019,2,7,NRL
Sharks,4,70,36,34,2019,3,3,NRL
Sharks,4,82,60,22,2019,4,7,NRL
Sharks,4,98,90,8,2019,5,9,NRL
Sharks,6,122,110,12,2019,6,8,NRL
Sharks,6,128,139,-11,2019,7,9,NRL
Sharks,8,148,157,-9,2019,8,7,NRL
Sharks,10,174,175,-1,2019,9,7,NRL
Sharks,0,18,22,-4,2020,1,9,NRL
Sharks,0,28,34,-6,2020,2,11,NRL
Sharks,0,44,62,-18,2020,3,13,NRL
Sharks,2,70,78,-8,2020,4,11,NRL
Sharks,2,86,108,-22,2020,5,13,NRL
Sharks,4,106,126,-20,2020,6,11,NRL
Sharks,6,146,148,-2,2020,7,11,NRL
Sharks,8,186,158,28,2020,8,7,NRL
Sharks,8,210,214,-4,2020,9,9,NRL
Sharks,2,32,18,14,2021,1,5,NRL
Sharks,2,42,30,12,2021,2,6,NRL
Sharks,2,46,58,-12,2021,3,12,NRL
Sharks,4,94,68,26,2021,4,8,NRL
Sharks,4,112,94,18,2021,5,9,NRL
Sharks,4,134,120,14,2021,6,11,NRL
Sharks,4,146,138,8,2021,7,13,NRL
Sharks,4,160,178,-18,2021,8,13,NRL
Sharks,4,160,226,-66,2021,9,13,NRL
Sharks,0,19,24,-5,2022,1,11,NRL
Sharks,2,37,40,-3,2022,2,10,NRL
Sharks,4,73,52,21,2022,3,3,NRL
Sharks,6,91,52,39,2022,4,4,NRL
Sharks,8,121,56,65,2022,5,2,NRL
Sharks,8,139,90,49,2022,6,3,NRL
Sharks,10,173,112,61,2022,7,4,NRL
Sharks,10,180,128,52,2022,8,4,NRL
Sharks,12,209,138,71,2022,9,4,NRL
Sharks,0,18,27,-9,2023,1,14,NRL
Sharks,2,48,53,-5,2023,2,10,NRL
Sharks,2,68,77,-9,2023,3,12,NRL
Sharks,4,108,85,23,2023,4,6,NRL
Sharks,4,138,117,21,2023,5,12,NRL
Sharks,6,138,117,21,2023,6,11,NRL
Sharks,8,160,129,31,2023,7,6,NRL
Sharks,10,193,149,44,2023,8,5,NRL
Sharks,12,237,155,82,2023,9,2,NRL
Sharks,2,16,12,4,2024,1,8,NRL
Sharks,4,41,18,23,2024,2,3,NRL
Sharks,4,47,50,-3,2024,3,10,NRL
Sharks,6,83,72,11,2024,4,4,NRL
Sharks,8,83,72,11,2024,5,4,NRL
Sharks,10,117,94,23,2024,6,1,NRL
Sharks,12,159,100,59,2024,7,1,NRL
Sharks,14,199,100,99,2024,8,1,NRL
Sharks,16,219,110,109,2024,9,1,NRL
Sharks,0,22,28,-6,2025,1,12,NRL
Sharks,2,58,40,18,2025,2,8,NRL
Sharks,4,85,52,33,2025,3,10,NRL
Sharks,4,91,72,19,2025,4,10,NRL
Sharks,4,111,96,15,2025,5,10,NRL
Sharks,6,135,114,21,2025,6,9,NRL
Sharks,8,169,128,41,2025,7,6,NRL
Sharks,8,187,148,39,2025,8,7,NRL
Sharks,10,215,166,49,2025,9,6,NRL
Sharks,2,50,10,40,2026,1,2,NRL
Sharks,2,56,36,20,2026,2,7,NRL
Sharks,2,66,74,-8,2026,3,10,NRL
Sharks,4,100,96,4,2026,4,9,NRL
Sharks,6,136,118,18,2026,5,6,NRL
Sharks,6,158,152,6,2026,6,10,NRL
Sharks,8,158,152,6,2026,7,7,NRL
Sharks,8,158,152,6,2026,8,7,NRL
Sharks,8,158,152,6,2026,9,7,NRL
Sharks,10,256,244,12,2026,10,10,NRL
Sharks,12,294,260,34,2026,11,9,NRL
Sharks,14,294,260,34,2026,12,9,NRL
Storm,2,18,16,2,2016,1,8,NRL
Storm,4,52,32,20,2016,2,5,NRL
Storm,6,73,46,27,2016,3,1,NRL
Storm,6,79,60,19,2016,4,3,NRL
Storm,8,97,74,23,2016,5,2,NRL
Storm,8,109,92,17,2016,6,6,NRL
Storm,10,128,110,18,2016,7,5,NRL
Storm,12,170,110,60,2016,8,3,NRL
Storm,14,208,110,98,2016,9,3,NRL
Storm,2,12,6,6,2017,1,6,NRL
Storm,4,38,16,22,2017,2,2,NRL
Storm,6,52,28,24,2017,3,1,NRL
Storm,8,74,42,32,2017,4,2,NRL
Storm,10,102,48,54,2017,5,1,NRL
Storm,10,104,59,45,2017,6,2,NRL
Storm,12,134,85,49,2017,7,2,NRL
Storm,14,154,99,55,2017,8,1,NRL
Storm,16,188,121,67,2017,9,1,NRL
Storm,2,36,18,18,2018,1,2,NRL
Storm,2,44,28,16,2018,2,8,NRL
Storm,4,74,42,32,2018,3,4,NRL
Storm,4,78,56,22,2018,4,6,NRL
Storm,4,88,67,21,2018,5,9,NRL
Storm,6,128,81,47,2018,6,5,NRL
Storm,8,162,101,61,2018,7,5,NRL
Storm,10,212,111,101,2018,8,4,NRL
Storm,10,226,145,81,2018,9,4,NRL
Storm,2,22,12,10,2019,1,5,NRL
Storm,4,44,22,22,2019,2,4,NRL
Storm,6,76,24,52,2019,3,1,NRL
Storm,8,94,40,54,2019,4,1,NRL
Storm,10,112,52,60,2019,5,1,NRL
Storm,10,132,73,59,2019,6,1,NRL
Storm,12,145,85,60,2019,7,2,NRL
Storm,12,163,105,58,2019,8,4,NRL
Storm,14,227,115,112,2019,9,3,NRL
Storm,2,18,4,14,2020,1,3,NRL
Storm,4,30,14,16,2020,2,4,NRL
Storm,4,36,36,0,2020,3,8,NRL
Storm,6,58,44,14,2020,4,5,NRL
Storm,8,84,56,28,2020,5,3,NRL
Storm,8,98,77,21,2020,6,6,NRL
Storm,10,148,83,65,2020,7,4,NRL
Storm,12,175,108,67,2020,8,3,NRL
Storm,14,195,122,73,2020,9,3,NRL
Storm,2,26,18,8,2021,1,8,NRL
Storm,2,38,34,4,2021,2,9,NRL
Storm,2,48,46,2,2021,3,11,NRL
Storm,4,88,52,36,2021,4,7,NRL
Storm,6,140,70,70,2021,5,6,NRL
Storm,8,160,74,86,2021,6,4,NRL
Storm,10,202,94,108,2021,7,4,NRL
Storm,12,242,108,134,2021,8,5,NRL
Storm,14,292,108,184,2021,9,3,NRL
Storm,2,26,16,10,2022,1,4,NRL
Storm,4,41,30,11,2022,2,4,NRL
Storm,4,65,58,7,2022,3,5,NRL
Storm,6,109,58,51,2022,4,2,NRL
Storm,8,139,74,65,2022,5,3,NRL
Storm,10,173,92,81,2022,6,2,NRL
Storm,12,243,102,141,2022,7,2,NRL
Storm,14,293,104,189,2022,8,2,NRL
Storm,16,335,110,225,2022,9,1,NRL
Storm,2,16,12,4,2023,1,6,NRL
Storm,2,28,38,-10,2023,2,12,NRL
Storm,2,62,76,-14,2023,3,13,NRL
Storm,4,86,88,-2,2023,4,9,NRL
Storm,6,104,98,6,2023,5,6,NRL
Storm,8,132,106,26,2023,6,3,NRL
Storm,8,140,124,16,2023,7,7,NRL
Storm,10,170,146,24,2023,8,6,NRL
Storm,12,170,146,24,2023,9,4,NRL
Storm,2,8,0,8,2024,1,7,NRL
Storm,4,38,26,12,2024,2,5,NRL
Storm,4,50,40,10,2024,3,8,NRL
Storm,6,50,40,10,2024,4,5,NRL
Storm,8,84,72,12,2024,5,3,NRL
Storm,10,100,86,14,2024,6,2,NRL
Storm,12,118,98,20,2024,7,2,NRL
Storm,14,172,118,54,2024,8,2,NRL
Storm,16,194,138,56,2024,9,2,NRL
Storm,2,56,18,38,2025,1,1,NRL
Storm,4,56,18,38,2025,2,1,NRL
Storm,6,86,42,44,2025,3,1,NRL
Storm,6,94,56,38,2025,4,4,NRL
Storm,8,142,80,62,2025,5,3,NRL
Storm,10,184,94,90,2025,6,2,NRL
Storm,10,206,136,70,2025,7,2,NRL
Storm,12,230,152,78,2025,8,2,NRL
Storm,12,248,172,76,2025,9,4,NRL
Storm,2,52,4,48,2026,1,1,NRL
Storm,4,98,24,74,2026,2,1,NRL
Storm,4,112,42,70,2026,3,4,NRL
Storm,4,136,70,66,2026,4,7,NRL
Storm,4,146,120,26,2026,5,11,NRL
Storm,4,160,158,2,2026,6,13,NRL
Storm,4,182,184,-2,2026,7,15,NRL
Storm,4,182,184,-2,2026,8,15,NRL
Storm,4,182,184,-2,2026,9,15,NRL
Storm,6,242,276,-34,2026,10,15,NRL
Storm,8,276,284,-8,2026,11,13,NRL
Storm,8,296,314,-18,2026,12,15,NRL
Tigers,2,34,26,8,2016,1,6,NRL
Tigers,4,70,48,22,2016,2,4,NRL
Tigers,4,88,78,10,2016,3,8,NRL
Tigers,4,88,86,2,2016,4,10,NRL
Tigers,4,114,120,-6,2016,5,11,NRL
Tigers,4,130,138,-8,2016,6,11,NRL
Tigers,4,148,157,-9,2016,7,14,NRL
Tigers,4,154,217,-63,2016,8,14,NRL
Tigers,6,184,239,-55,2016,9,13,NRL
Tigers,2,34,18,16,2017,1,2,NRL
Tigers,2,36,54,-18,2017,2,12,NRL
Tigers,2,42,100,-58,2017,3,16,NRL
Tigers,2,56,122,-66,2017,4,16,NRL
Tigers,2,62,150,-88,2017,5,16,NRL
Tigers,4,88,166,-78,2017,6,14,NRL
Tigers,4,110,192,-82,2017,7,14,NRL
Tigers,6,128,204,-76,2017,8,13,NRL
Tigers,6,144,226,-82,2017,9,14,NRL
Tigers,2,10,8,2,2018,1,6,NRL
Tigers,4,20,16,4,2018,2,4,NRL
Tigers,4,27,25,2,2018,3,6,NRL
Tigers,6,57,45,12,2018,4,4,NRL
Tigers,8,68,55,13,2018,5,4,NRL
Tigers,10,106,67,39,2018,6,4,NRL
Tigers,10,126,89,37,2018,7,4,NRL
Tigers,10,148,113,35,2018,8,5,NRL
Tigers,10,152,139,13,2018,9,7,NRL
Tigers,2,20,6,14,2019,1,3,NRL
Tigers,4,54,12,42,2019,2,1,NRL
Tigers,4,62,34,28,2019,3,4,NRL
Tigers,4,70,43,27,2019,4,6,NRL
Tigers,6,92,59,33,2019,5,5,NRL
Tigers,6,98,110,-12,2019,6,9,NRL
Tigers,8,128,124,4,2019,7,7,NRL
Tigers,8,140,166,-26,2019,8,9,NRL
Tigers,10,170,170,0,2019,9,6,NRL
Tigers,2,24,14,10,2020,1,4,NRL
Tigers,2,48,56,-8,2020,2,9,NRL
Tigers,4,76,72,4,2020,3,7,NRL
Tigers,4,99,100,-1,2020,4,9,NRL
Tigers,4,105,114,-9,2020,5,9,NRL
Tigers,6,141,134,7,2020,6,9,NRL
Tigers,8,175,140,35,2020,7,6,NRL
Tigers,8,187,159,28,2020,8,8,NRL
Tigers,8,197,177,20,2020,9,8,NRL
Tigers,0,12,30,-18,2021,1,14,NRL
Tigers,0,18,70,-52,2021,2,15,NRL
Tigers,2,42,90,-48,2021,3,13,NRL
Tigers,2,64,126,-62,2021,4,13,NRL
Tigers,2,94,160,-66,2021,5,13,NRL
Tigers,2,108,178,-70,2021,6,15,NRL
Tigers,2,114,218,-104,2021,7,14,NRL
Tigers,4,130,226,-96,2021,8,14,NRL
Tigers,4,158,262,-104,2021,9,15,NRL
Tigers,0,16,26,-10,2022,1,13,NRL
Tigers,0,20,52,-32,2022,2,15,NRL
Tigers,0,32,68,-36,2022,3,16,NRL
Tigers,0,38,76,-38,2022,4,16,NRL
Tigers,0,42,106,-64,2022,5,16,NRL
Tigers,2,63,126,-63,2022,6,15,NRL
Tigers,4,86,148,-62,2022,7,13,NRL
Tigers,4,92,160,-68,2022,8,13,NRL
Tigers,4,114,196,-82,2022,9,13,NRL
Tigers,0,10,22,-12,2023,1,16,NRL
Tigers,0,22,36,-14,2023,2,17,NRL
Tigers,0,44,62,-18,2023,3,17,NRL
Tigers,0,56,86,-30,2023,4,17,NRL
Tigers,0,68,132,-64,2023,5,17,NRL
Tigers,0,90,160,-70,2023,6,17,NRL
Tigers,2,90,160,-70,2023,7,17,NRL
Tigers,2,106,182,-76,2023,8,17,NRL
Tigers,4,118,190,-72,2023,9,17,NRL
Tigers,2,0,0,0,2024,1,9,NRL
Tigers,2,12,32,-20,2024,2,12,NRL
Tigers,4,44,38,6,2024,3,9,NRL
Tigers,6,61,54,7,2024,4,6,NRL
Tigers,6,77,80,-3,2024,5,9,NRL
Tigers,6,89,104,-15,2024,6,12,NRL
Tigers,6,95,126,-31,2024,7,13,NRL
Tigers,6,105,160,-55,2024,8,15,NRL
Tigers,6,119,182,-63,2024,9,15,NRL
Tigers,0,8,10,-2,2025,1,11,NRL
Tigers,2,40,16,24,2025,2,7,NRL
Tigers,4,70,34,36,2025,3,9,NRL
Tigers,4,94,60,34,2025,4,9,NRL
Tigers,4,118,106,12,2025,5,11,NRL
Tigers,6,138,110,28,2025,6,7,NRL
Tigers,6,160,148,12,2025,7,12,NRL
Tigers,8,180,166,14,2025,8,9,NRL
Tigers,10,214,194,20,2025,9,8,NRL
Tigers,2,0,0,0,2026,1,9,NRL
Tigers,4,44,16,28,2026,2,5,NRL
Tigers,4,60,36,24,2026,3,5,NRL
Tigers,6,92,50,42,2026,4,3,NRL
Tigers,8,114,70,44,2026,5,2,NRL
Tigers,10,156,92,64,2026,6,2,NRL
Tigers,10,176,113,63,2026,7,3,NRL
Tigers,10,176,113,63,2026,8,3,NRL
Tigers,10,176,113,63,2026,9,3,NRL
Tigers,12,235,223,12,2026,10,6,NRL
Tigers,12,253,269,-16,2026,11,10,NRL
Tigers,14,253,269,-16,2026,12,10,NRL
Titans,2,30,12,18,2016,1,3,NRL
Titans,2,46,46,0,2016,2,9,NRL
Titans,4,76,64,12,2016,3,6,NRL
Titans,6,100,84,16,2016,4,4,NRL
Titans,6,116,108,8,2016,5,9,NRL
Titans,6,136,133,3,2016,6,9,NRL
Titans,6,150,152,-2,2016,7,9,NRL
Titans,6,170,173,-3,2016,8,10,NRL
Titans,6,170,211,-41,2016,9,12,NRL
Titans,0,18,32,-14,2017,1,14,NRL
Titans,0,44,66,-22,2017,2,14,NRL
Titans,2,70,80,-10,2017,3,14,NRL
Titans,2,96,112,-16,2017,4,12,NRL
Titans,2,118,140,-22,2017,5,14,NRL
Titans,2,134,182,-48,2017,6,15,NRL
Titans,2,156,206,-50,2017,7,15,NRL
Titans,4,172,218,-46,2017,8,15,NRL
Titans,6,210,226,-16,2017,9,12,NRL
Titans,2,30,28,2,2018,1,7,NRL
Titans,2,38,48,-10,2018,2,10,NRL
Titans,2,46,102,-56,2018,3,14,NRL
Titans,4,72,116,-44,2018,4,11,NRL
Titans,6,104,136,-32,2018,5,6,NRL
Titans,6,116,171,-55,2018,6,9,NRL
Titans,6,130,197,-67,2018,7,11,NRL
Titans,6,139,207,-68,2018,8,12,NRL
Titans,6,157,239,-82,2018,9,13,NRL
Titans,0,0,21,-21,2019,1,15,NRL
Titans,0,6,41,-35,2019,2,15,NRL
Titans,0,26,69,-43,2019,3,16,NRL
Titans,0,36,95,-59,2019,4,16,NRL
Titans,2,66,119,-53,2019,5,14,NRL
Titans,4,104,133,-29,2019,6,11,NRL
Titans,4,118,163,-45,2019,7,13,NRL
Titans,4,132,191,-59,2019,8,14,NRL
Titans,4,150,217,-67,2019,9,14,NRL
Titans,0,6,24,-18,2020,1,15,NRL
Titans,0,12,70,-58,2020,2,16,NRL
Titans,0,18,106,-88,2020,3,16,NRL
Titans,2,46,129,-83,2020,4,15,NRL
Titans,2,58,161,-103,2020,5,16,NRL
Titans,2,66,181,-115,2020,6,16,NRL
Titans,4,96,193,-97,2020,7,13,NRL
