player_id,firstname,surname
31835,Siosiua,Taukeiaho
31836,Slade,Griffin
31837,Sosaia,Feki
31838,Tohu,Harris
31840,Tyrone,Peachey
31844,Will,Smith
31846,Isaac,Liu
31847,Tautau,Moga
31849,James,Tedesco
31850,John,Palavi
31852,Josh,Starling
31853,Josh,Mansour
31854,Edrick,Lee
31855,Curtis,Sironen
31860,Roger,Tuivasa-Sheck
31862,Marika,Koroibete
31865,Tom,Eisenhuth
31867,Daniel,Tupou
31868,David,Klemmer
31869,Leilani,Latu
31873,Chris,Grevsmuhl
31874,Felise,Kaufusi
31876,Ethan,Lowe
31877,Curtis,Rona
31878,Kyle,Feldt
31881,Jahrome,Hughes
31885,Tim,Glasby
31886,Kirisome,Auva'a
31888,Kurt,Mann
31890,Young,Tonumaipea
31894,Tyler,Randell
31895,Nathan,Ross
31896,Paterika,Vaivai
31897,Matt,Eisenhuth
31898,Kenny,Edwards
31901,Semi,Radradra
31902,Brayden,Wiliame
31903,Vai,Toutai
31911,Luke,Keary
31912,Api,Koroisau
31915,Tom,Burgess
31917,Damien,Cook
31921,Adam,Quinlan
31924,Dylan,Napa
31926,Cameron,Cullen
31928,Jake,Granville
31930,Corey,Oates
31932,Francis,Molo
990750,Dylan,Walker
990973,Kyle,Turner
991236,Ashley,Taylor
991249,Jai,Arrow
991252,Jayden,Berrell
991253,Joe,Ofahengaue
991256,Kodi,Nikorima
991257,Kurt,Capewell
991264,Tom,Opacic
991267,Adam,Elliott
991272,Danny,Fualalo
991280,Herman,Ese'ese
991282,Jaelen,Feeney
991288,Lloyd,Perrett
991290,Makahesi,Makatoa
991293,Moses,Mbye
991295,Pio,Seci
991300,Lachlan,Burr
991301,Paul,Carter
991305,Edward,Murphy
991307,Anthony,Milford
991310,Brenko,Lee
991319,Jonathon,Reuben
991324,Matt,Frawley
991325,Mitchell,Barnett
991326,Mitchell,Cornish
991328,Patrick,Mago
991338,Matthew,Allwood
991347,Corey,Jensen
991357,Javid,Bowen
991364,Patrick,Kaufusi
991375,Zac,Santo
991379,Hymel,Hunt
991386,Jamal,Fogarty
991388,Kane,Elgey
991409,Jacob,Gagan
991411,Peta,Hiku
991413,Ligi,Sao
991414,Jesse,Sene-Lefao
991420,Clint,Gutherson
991421,Matt,Ikuvalu
991433,Will,Pearsall
991438,Jake,Trbojevic
991442,Dean,Britt
991443,Billy,Brittain
991452,Richard,Kennar
991453,Rhys,Kennedy
991459,Matt,Lodge
991471,Francis,Tualau
991474,Christian,Welch
991478,Adam,Clydsdale
991487,Jake,Mamo
991490,Pat,Mata'utia
991497,Joseph,Tapine
991500,Daniel,Alvaro
991506,Zach,Dockar-Clay
991507,John,Folau
991509,Jordan,Grant
991512,Tui,Kamikamica
991519,Ryan,Matterson
991523,Tepai,Moeroa
991525,Pauli,Pauli
991526,Kaysa,Pritchard
991529,Kelepi,Tanginoa
991536,Reagan,Campbell-Gillard
991537,Bryce,Cartwright
991543,George,Jennings
991545,Kierran,Moseley
991550,Chris,Smith
991557,Dallin,Watene-Zelezniak
991559,Michael,Lichaa
991564,Fa'amanu,Brown
991572,Kurt,Dillon
991587,Scott,Sorensen
991595,Jack,Gosiewski
991596,Aaron,Gray
991600,Alex,Johnston
991606,Cameron,McInnes
991610,Tyrone,Phillips
991638,Craig,Garvey
991647,Sitiveni,Moceidreke
991660,John,Asiata
991663,Tyler,Cornish
991664,Brendan,Elliot
991667,Nene,Macdonald
991669,Rhyse,Martin
991678,David,Bhana
991680,Raymond,Faitala-Mariner
991682,David,Fusitu'a
991683,Siliva,Havili
991687,Mason,Lino
991696,Albert,Vete
991704,Agnatius,Paasi
991705,Suaia,Matagi
991711,Jack,Buchanan
991714,Asipeli,Fine
991717,David,Nofoaluma
991718,Ava,Seumanufagai
991720,Sauaso,Sue
991722,Luke,Brooks
991723,Manaia,Cherrington
991733,Delouise,Hoeter
991739,Kyle,Lovett
991742,Nathan,Milone
991743,Mitchell,Moses
991759,Charlie,Gubb
993085,Sitaleki,Akauola
993375,Matt,Moylan
995034,Zak,Hardaker
995043,Eloni,Vunakece
995052,Kallum,Watkins
995079,Tyrone,McCarthy
995175,Bureta,Faraimo
995274,Jack,Littlejohn
995276,Cameron,Munster
995278,Cody,Walker
995280,Mike,Cooper
995281,Jackson,Hastings
995297,Jamil,Hopoate
995647,Valentine,Holmes
995655,Anthony,Gelling
995664,John,Bateman
995665,George,Williams
995666,Dan,Sarginson
995670,Joe,Burgess
995671,Corey,Thompson
995672,Manu,Ma'u
995673,Isaah,Yeo
995675,Luke,Bateman
995678,Solomone,Kata
995679,Tuimoala,Lolohea
995794,Josh,Addo-Carr
995802,Luke,Garner
995805,Suliasi,Vunivalu
995808,Jake,Turpin
995809,Joe,Stimson
995810,Ben,Nakubuwai
995813,Luke,Yates
995815,Josh,Chudleigh
995828,Zane,Musgrove
995830,John,Olive
995837,Tom,Freebairn
995838,Matt,Dufty
995839,Addin,Fonua-Blake
995840,Toafofoa,Sipley
995850,Lindsay,Collins
995851,George,Fai
995856,Jayden,Nikorima
995861,Tevita,Pangai Junior
995875,Renouf,Atoni
995877,Royce,Hunt
995878,Shaun,Lane
995883,Patrice,Siolo
995886,Jayden,Brailey
995887,Aaron,Pene
995889,Jamayne,Isaako
995895,Brian,Kelly
995912,Liam,Knight
995915,Tom,Trbojevic
995921,Nelson,Asofa-Solomona
995932,Charnze,Nicoll-Klokstad
995940,Lachlan,Fitzgibbon
995942,Sione,Mata'utia
995944,Danny,Levi
995953,Viliame,Kikau
995954,Coen,Hess
995956,Nathan,Davis
995957,Joey,Lussick
995959,Josh,Aloiai
995970,Moses,Leota
995972,Brent,Naden
995973,Andy,Saunders
995976,Sione,Katoa
995979,Waqa,Blake
995984,Aaron,Booth
995988,Brock,Gray
995994,Bronson,Garlick
996003,Jack,Bird
996008,Luciano,Leilua
996012,Izaac,Tu'itupou Thompson
996013,Jacob,Host
996016,Euan,Aitken
996018,Adam,Clune
996022,Drew,Hutchison
996025,Ken,Maumalo
996028,Sam,Cook
996029,Sam,Lisone
996037,Watson,Heleta
996042,Jeremy,Marshall-King
996043,Te Maire,Martin
996051,Marion,Seve
996067,Braden,Hamlin-Uele
996069,Brad,Deitz
996073,Vincent,Leuluai
996075,Taane,Milne
996085,Jacob,Gagai
996089,Hame,Sele
996090,Brad,Abbey
996143,Corey,Harawira-Naera
996152,Josh,King
996161,Nathaniel,Roache
996162,James,Bell
996164,Bunty,Afoa
996341,Jazz,Tevaga
997381,Paul,Momirovski
997383,Ofahiki,Ogden
997563,Ata,Hingano
997762,Tautalatasi,Tasi
997794,Connor,Tracey
997797,Lachlan,Lewis
997798,Lachlan,Croker
997799,Jack,Williams
997833,Christian,Crichton
997836,Jesse,Ramien
997840,Nathaniel,Peteru
997913,Grant,Garvey
997936,Morgan,Boyle
997956,Nicho,Hynes
997958,Karl,Lawton
997970,Tyrell,Fuimaono
998057,Marcelo,Montoya
998301,Robert,Jennings
998416,Latrell,Mitchell
998432,Marata,Niukore
998433,Alex,Twal
998441,Ben,Spina
998460,James,Fisher-Harris
998505,Joseph,Manu
998516,Oliver,Clark
998526,Brock,Lamb
998573,Tyrone,May
998593,Jack,Cogger
998596,Poasa,Faamausili
998680,Soni,Luke
999039,Josh,Hodgson
999043,Elliott,Whitehead
999246,Greg,Eden
999247,Matt,Parcell
999251,Rory,O'Brien
999252,Abraham,Papalii
999459,Darren,Nicholls
999463,Angus,Crichton
999679,Joe,Greenwood
999838,Gideon,Gela-Mosby
999841,Kurt,De Luis
999894,Josh,Kerr
999903,Jacob,Saifiti
999904,Daniel,Saifiti
999910,Mitch,Dunn
999915,Kalyn,Ponga
999917,Brandon,Smith
999919,Tom,Amone
999923,Bevan,French
999926,Abbas,Miski
999929,Reimis,Smith
999942,Siosifa,Talakai
999947,Patrick,Herbert
999956,Erin,Clark
999969,JJ,Felise
999971,Jacob,Liddle
999972,Esan,Marsters
999976,Bayley,Sironen
999978,Tevita,Tatola
1000003,Nat,Butcher
1000006,Jaydn,Su'A
1000010,Jed,Cartwright
1000014,Kyle,Laybutt
1000016,Connor,Watson
1000023,Kaide,Ellis
1000031,Blake,Lawrie
1000038,Dylan,Edwards
1000251,Keegan,Hipgrave
1001179,Dylan,Phythian
1001180,Shaquai,Mitchell
1001234,Braidon,Burns
1001235,Nathan,Brown
1001373,Jonus,Pearson
1001424,Zac,Woolford
1001545,Reuben,Porter
1001546,Billy,Tsikrikas
1001577,Tyrone,Amey
1001586,Jayden,Okunbor
1001696,Troy,Dargan
1001736,Junior,Pauga
1002003,Billy,Bainbridge
1002004,Curtis,Scott
1002005,Billy,Magoulias
1002006,Daniel,Vasquez
1002007,Jack,Hetherington
1002028,Toby,Rudolf
1002031,Kalani,Going
1002057,Corey,Waddell
1002156,Tyronne,Roberts-Davis
1002211,Brad,Parker
1002504,Nathan,Cleary
1002528,Ray,Stone
1002561,Jarome,Luai
1002752,Sam,Stone
1002837,Jaimin,Jolliffe
1002839,Tom,Starling
1002866,Reuben,Garrick
1003060,Will,Kennedy
1003182,Brodie,Jones
1003451,Kerrod,Holland
1003668,Leivaha,Pulu
1003669,Tom,Wright
1003674,Cameron,Murray
1003773,Brodie,Croft
1003776,Shane,Wright
1003807,Morgan,Knowles
1003819,Oliver,Gildart
1003821,Ryan,Sutton
1004668,Cory,Denniss
1005688,Clay,Priest
1005771,Justin,Olam
1007392,Joe,Wardle
1007394,Adam,Keighran
1007398,Chris,Lewis
1007399,Nick,Meaney
1007401,Nick,Cotric
1007403,Ryley,Jacks
1007404,Taniela,Paseka
1007441,Jai,Field
1007443,Isaiah,Papali'i
1007454,Gehamat,Shibasaki
1007455,Paul,Roache
1007456,Scott,Drinkwater
1007457,Kyle,Flanagan
1007458,AJ,Brimson
1007459,Max,King
1007463,Malakai,Watene-Zelezniak
1007531,Victor,Radley
1007533,Moses,Suli
1007534,Joseph,Vuna
1008489,Enari,Tuala
1009175,Briton,Nikora
1009576,Phillip,Sami
1009970,Tevita,Satae
1010021,Campbell,Graham
1010190,Pasami,Saulo
1010562,Mikaele,Ravalawa
1010595,Jack,Johns
1010603,Adam,Doueihi
1010611,Lachlan,Lam
1010991,Payne,Haas
1010992,Jack,Murchie
1010993,Isaac,Lumelume
1010995,Blayke,Brailey
1010998,Jai,Whitbread
1011000,Kiah,Cooper
1011001,Tevita,Funa
1011002,Billy,Walters
1011003,Cooper,Johns
1011004,Harry,Grant
1011009,Ryan,Papenhuyzen
1011011,Tino,Fa'asuamaleuai
1011012,Zac,Hosking
1011013,Brayden,Musgrove
1011014,Jake,Clifford
1011015,Emry,Pere
1011016,Dane,Aukafolau
1011017,Jaeman,Salmon
1011018,Wayde,Egan
1011019,Jordan,Pereira
1011020,Reece,Robson
1011021,Steven,Marsters
1011022,Tristan,Sailor
