match_id,team_name,utc_start,comp_id,season,round,team_location,goals_per_kick,m_per_run,tb_per_run,lb_per_run,offs_per_run,ta_per_touch,lba_per_touch,kick_per_touch,pass_per_touch,km_per_kick,tries_per_game,err_per_touch,points_per_game,tackles_time,saves_per_game,miss_per_t,pen_per_t,ineff_per_t
98670204,Rabbitohs,2016-03-12T06:30:04Z,9867,2016,2,home,0.5,9.351314901922189,0.14166944166944168,0.06212121212121212,0.059379217273954114,0.011220176564245147,0.008799520297435033,0.020467966540719088,0.3438786477701186,28.095238095238095,0.6153846153846154,0.016359206404455272,2.6153846153846154,24.525641025641026,0.15384615384615385,0.032985517335310764,0.030018662125685536,0.04484001472984357
98670205,Cowboys,2016-03-12T08:30:05Z,9867,2016,2,away,1,10.056523311367602,0.08226031945755129,0.008362168396770472,0,0.006193742116729732,0.0030977668845315904,0.030385081565422124,0.3404032707682999,23.706666666666667,0.17647058823529413,0.03626656247763514,1.1764705882352942,25.725490196078432,0,0.04128759257101683,0.030168816303835663,0.05666892615169637
98670205,Eels,2016-03-12T08:30:05Z,9867,2016,2,home,0,8.982091503267974,0.1233303624480095,0.011111111111111112,0.10331550802139038,0.0037037037037037034,0.007407407407407407,0.02334603343375273,0.3545057619161357,21.6,0.06666666666666667,0.042366918614058204,0.26666666666666666,30.13888888888889,0,0.04815663476583017,0.021804511278195486,0.04362628532320002
98670206,Sharks,2016-03-13T05:00:06Z,9867,2016,2,home,1,9.770952380952382,0.07738095238095238,0.004166666666666667,0.029629629629629627,0.0026666666666666666,0,0.026975931438406084,0.2799766928167697,36.44166666666666,0.13333333333333333,0.04812639339040534,0.9333333333333333,30.038888888888888,0,0.048946629382675896,0.0149526270456503,0
98670206,Dragons,2016-03-13T05:00:06Z,9867,2016,2,away,0.5,8.529441391941392,0.07031746031746032,0.01037037037037037,0.08587301587301586,0.00563097033685269,0.00563097033685269,0.036249349272605084,0.3089612581267848,27.235,0.2,0.047851254992157866,1.0666666666666667,25.9,0.06666666666666667,0.04917124542124542,0.028070995096857166,0.04186341436341436
98670207,Titans,2016-03-13T07:30:07Z,9867,2016,2,away,0.8333333333333334,9.091003810431054,0.06532790309106098,0.01369047619047619,0.050842490842490845,0.009837505489679403,0.005797101449275362,0.03565769026295342,0.37036843178433565,25.953333333333333,0.26666666666666666,0.03172846593613184,1.7333333333333334,27.305555555555557,0.06666666666666667,0.05882246294011,0.039510489510489515,0.0058823529411764705
98670207,Storm,2016-03-13T07:30:07Z,9867,2016,2,home,0.6,9.092330447330447,0.09435185185185185,0.02943121693121693,0.031296296296296294,6.116207951070337e-4,0.003641923825410064,0.04328673365370613,0.2762565989056815,29.604761904761904,0.2,0.03887174030522654,1.2,29.211111111111112,0,0.07506408583058076,0.004233870967741935,0.1290381419850567
98670208,Eagles,2016-03-14T08:00:08Z,9867,2016,2,away,1,8.750715521148958,0.04369747899159664,0.004201680672268907,0.07634144566917676,0.0026666666666666666,0.0026666666666666666,0.030214752567693744,0.3614299153959248,26.25,0.06666666666666667,0.04536254159783572,0.4,30.85,0.13333333333333333,Inf,Inf,Inf
98670208,Tigers,2016-03-14T08:00:08Z,9867,2016,2,home,0.8333333333333334,10.929017649017648,0.0992046842046842,0.05412698412698413,0.10637806637806638,0.015869460886258197,0.017168162184959496,0.02605741303613644,0.29386972266239686,24.55,0.4,0.063863494661367,2.2666666666666666,25.627777777777776,0,0.23901727357609712,0.025014854426619132,0.02255892255892256
98670301,Cowboys,2016-03-17T09:05:01Z,9867,2016,3,home,0.98,10.047252732153467,0.08734940631264161,0.010501919648978474,0.002970279720279723,0.005988198294978611,0.0033008917934306244,0.029755823701834352,0.34119361264052556,30.942222222222224,0.17647058823529413,0.036487513834793255,1.1623529411764706,26.094019607843137,0,0.04239578653455828,0.033491671819500836,0.05611273566163095
98670301,Roosters,2016-03-17T09:05:01Z,9867,2016,3,away,0.49,9.700176423576423,0.14192018700253994,0.011656898656898658,0.08144617604617604,0.008691752716034914,0.008467414091696289,0.021399526962521485,0.32815572310975816,24.952575757575758,0.015000000000000013,0.0306771904979787,0.19250000000000006,28.4825,0,0.12576908883655552,0.018045384334694683,0.056114237708051094
98670302,Bulldogs,2016-03-18T09:05:02Z,9867,2016,3,home,0.6866666666666666,9.226393941706442,0.10324944384319384,0.02375757575757576,0.04838489057239057,0.007243457825203252,0.0041334476626016265,0.03929926964549678,0.3426466294415907,35.53366666666667,0.28705882352941176,0.012306258753501402,1.5976470588235294,29.132941176470588,0,0.04348885493591376,0.035947606881136296,0.06289639586992528
98670302,Eels,2016-03-18T09:05:02Z,9867,2016,3,away,0.04800000000000004,8.757974326980209,0.13991725398784222,0.011115773115773116,0.06784991087344028,0.005162962962962963,0.005162962962962963,0.026712077418671487,0.345481039746706,16.723333333333333,0.07066666666666667,0.033415862102879196,0.3146666666666667,27.36488888888889,0.0040000000000000036,0.060020230659081235,0.020234920634920633,0.041228287804149874
98670303,Raiders,2016-03-19T06:30:03Z,9867,2016,3,away,0.7014285714285714,9.419398930201451,0.14762817714498386,0.02134069082178326,0.08369832128655658,0.01895493704728268,0.009820950119178105,0.013010504201680673,0.33762867943366665,36.93333333333333,0.14133333333333334,0.029282747552248835,1.208,29.174555555555553,0,0.11948142285343698,0.026970482251687414,0.07698215915851739
98670303,Knights,2016-03-19T06:30:03Z,9867,2016,3,home,1,9.82800291855179,0.08236350491613649,0.02508939014202172,0.018397546897546902,0.0031209320091673035,0.005075477463712758,0.03396978211372658,0.32989755509455837,24.684305555555557,0.13857142857142857,0.023388214175403616,0.8314285714285714,33.00928571428572,0,0.075880323753433,0.02290252836177206,0.05701587835314063
98670304,Broncos,2016-03-19T08:30:04Z,9867,2016,3,away,0.6375,8.743617579788634,0.06227479460683795,0.017765972417675205,0.04224208582954713,0.004906679249239803,0.011853888902331808,0.036286753715981154,0.3162680698751088,37.78879487179488,0.17647058823529413,0.03815794192799981,0.9552941176470588,26.208039215686277,0,0.1425070033418695,0.0426801635233793,0.11284701892310588
