"","player_id","firstname","surname"
"184",31618,"Michael","Morgan"
"185",31619,"Kalifa","Faifai Loa"
"186",31621,"Ryan","James"
"187",31622,"Robbie","Rochow"
"188",31625,"Mitchell","Allgood"
"189",31629,"Michael","Oldfield"
"190",31634,"Cameron","King"
"191",31635,"Ben","Murdoch-Masila"
"192",31666,"Mitchell","Frei"
"193",31667,"Dane","Gagai"
"194",31668,"Jordan","Kahu"
"195",31669,"Jack","Reed"
"196",31674,"Jarrad","Kennedy"
"197",31676,"Mark","Nicholls"
"198",31677,"Josh","Papali'i"
"199",31679,"Sam","Kasiano"
"200",31682,"Ryan","Simpkins"
"201",31688,"Peter","Mata'utia"
"202",31689,"Zane","Tetevano"
"203",31691,"Blake","Leary"
"204",31693,"James","Segeyaro"
"205",31704,"George","Burgess"
"206",31705,"Jack","Stockwell"
"207",31706,"Mitch","Rein"
"208",31713,"Shaun","Johnson"
"209",31717,"Pat","Politoni"
"210",31721,"Ricky","Leutele"
"211",31723,"Brenton","Lawrence"
"212",31730,"Ryan","Morgan"
"213",31731,"Sam","Williams"
"214",31741,"Pita","Godinet"
"215",31744,"Timoteo","Lafai"
"216",31745,"Nathan","Peats"
"217",31747,"Tyrone","Roberts"
"218",31748,"Ken","Sio"
"219",31750,"James","Roberts"
"220",31752,"Justin","Hunt"
"221",31755,"Josh","Reynolds"
"222",31756,"Tyson","Frizell"
"223",31759,"Chad","Townsend"
"224",31760,"Tim","Simona"
"225",31764,"Luke","Burgess"
"226",31765,"Jack","de Belin"
"227",31768,"Jason","Taumalolo"
"228",31769,"Blake","Austin"
"229",31770,"Adam","Reynolds"
"230",31771,"Aidan","Sezer"
"231",31774,"Anthony","Don"
"232",31775,"Ben","Hampton"
"233",31776,"Ben","Henry"
"234",31782,"Chanel","Mata'utia"
"235",31783,"Chris","Adams"
"236",31784,"Cody","Nelson"
"237",31786,"Dale","Finucane"
"238",31793,"Jack","Wighton"
"239",31794,"James","Gavet"
"240",31797,"Jarrod","Wallace"
"241",31799,"Jordan","McLean"
"242",31800,"Jorge","Taufua"
"243",31801,"Josh","Jackson"
"244",31803,"Kane","Evans"
"245",31804,"Kenny","Bromwich"
"246",31805,"Konrad","Hurrell"
"247",31806,"Korbin","Sims"
"248",31807,"Lachlan","Maranta"
"249",31810,"Mahe","Fonua"
"250",31814,"Matt","McIlwrick"
"251",31816,"Michael","Chee Kam"
"252",31820,"Nathan","Green"
"253",31823,"Paul","Vaughan"
"254",31824,"Peni","Terepo"
"255",31828,"Sam","Hoare"
"256",31833,"Shannon","Boyd"
"257",31835,"Siosiua","Taukeiaho"
"258",31836,"Slade","Griffin"
"259",31837,"Sosaia","Feki"
"260",31838,"Tohu","Harris"
"261",31840,"Tyrone","Peachey"
"262",31844,"Will","Smith"
"263",31846,"Isaac","Liu"
"264",31847,"Tautau","Moga"
"265",31849,"James","Tedesco"
"266",31850,"John","Palavi"
"267",31852,"Josh","Starling"
"268",31853,"Josh","Mansour"
"269",31854,"Edrick","Lee"
"270",31855,"Curtis","Sironen"
"271",31860,"Roger","Tuivasa-Sheck"
"272",31862,"Marika","Koroibete"
"273",31865,"Tom","Eisenhuth"
"274",31867,"Daniel","Tupou"
"275",31868,"David","Klemmer"
"276",31869,"Leilani","Latu"
"277",31873,"Chris","Grevsmuhl"
"278",31874,"Felise","Kaufusi"
"279",31876,"Ethan","Lowe"
"280",31877,"Curtis","Rona"
"281",31878,"Kyle","Feldt"
"282",31881,"Jahrome","Hughes"
