match_id,commence_time,home_team,away_team,bookmaker,market,last_update,home_team_odds,away_team_odds
2ff95c3d621eea6adc070c5c249a645d,2026-05-30T09:35:00Z,Storm,Roosters,unibet,h2h,2026-05-26T06:10:00Z,2.04,1.76
2ff95c3d621eea6adc070c5c249a645d,2026-05-30T09:35:00Z,Storm,Roosters,tabtouch,h2h,2026-05-26T06:09:40Z,2.05,1.77
2ff95c3d621eea6adc070c5c249a645d,2026-05-30T09:35:00Z,Storm,Roosters,betfair_ex_au,h2h,2026-05-26T06:09:41Z,1.97,1.83
2ff95c3d621eea6adc070c5c249a645d,2026-05-30T09:35:00Z,Storm,Roosters,playup,h2h,2026-05-26T06:09:04Z,2.05,1.75
087e9e338cc48b520a65f736f6509534,2026-05-31T04:00:00Z,Broncos,Dragons,sportsbet,h2h,2026-05-26T06:10:04Z,1.11,6.7
087e9e338cc48b520a65f736f6509534,2026-05-31T04:00:00Z,Broncos,Dragons,tab,h2h,2026-05-26T06:09:59Z,1.13,5.8
087e9e338cc48b520a65f736f6509534,2026-05-31T04:00:00Z,Broncos,Dragons,pointsbetau,h2h,2026-05-26T06:09:22Z,1.12,6
087e9e338cc48b520a65f736f6509534,2026-05-31T04:00:00Z,Broncos,Dragons,neds,h2h,2026-05-26T06:09:22Z,1.12,6.5
087e9e338cc48b520a65f736f6509534,2026-05-31T04:00:00Z,Broncos,Dragons,ladbrokes_au,h2h,2026-05-26T06:09:23Z,1.12,6.5
087e9e338cc48b520a65f736f6509534,2026-05-31T04:00:00Z,Broncos,Dragons,betright,h2h,2026-05-26T06:09:59Z,1.12,6.25
087e9e338cc48b520a65f736f6509534,2026-05-31T04:00:00Z,Broncos,Dragons,betr_au,h2h,2026-05-26T06:09:58Z,1.13,6
087e9e338cc48b520a65f736f6509534,2026-05-31T04:00:00Z,Broncos,Dragons,betfair_ex_au,h2h,2026-05-26T06:09:41Z,1.14,6.8
087e9e338cc48b520a65f736f6509534,2026-05-31T04:00:00Z,Broncos,Dragons,playup,h2h,2026-05-26T06:09:04Z,1.12,6
087e9e338cc48b520a65f736f6509534,2026-05-31T04:00:00Z,Broncos,Dragons,tabtouch,h2h,2026-05-26T06:09:40Z,1.14,5.8
087e9e338cc48b520a65f736f6509534,2026-05-31T04:00:00Z,Broncos,Dragons,unibet,h2h,2026-05-26T06:10:00Z,1.13,5.75
1630ce3cc41f6ca1d41025b60de0aee4,2026-05-31T06:05:00Z,Raiders,Cowboys,sportsbet,h2h,2026-05-26T06:10:04Z,1.71,2.14
1630ce3cc41f6ca1d41025b60de0aee4,2026-05-31T06:05:00Z,Raiders,Cowboys,tab,h2h,2026-05-26T06:09:59Z,1.65,2.2
1630ce3cc41f6ca1d41025b60de0aee4,2026-05-31T06:05:00Z,Raiders,Cowboys,betright,h2h,2026-05-26T06:09:59Z,1.65,2.24
1630ce3cc41f6ca1d41025b60de0aee4,2026-05-31T06:05:00Z,Raiders,Cowboys,betr_au,h2h,2026-05-26T06:09:58Z,1.7,2.15
1630ce3cc41f6ca1d41025b60de0aee4,2026-05-31T06:05:00Z,Raiders,Cowboys,pointsbetau,h2h,2026-05-26T06:09:22Z,1.62,2.25
1630ce3cc41f6ca1d41025b60de0aee4,2026-05-31T06:05:00Z,Raiders,Cowboys,ladbrokes_au,h2h,2026-05-26T06:09:23Z,1.65,2.25
1630ce3cc41f6ca1d41025b60de0aee4,2026-05-31T06:05:00Z,Raiders,Cowboys,neds,h2h,2026-05-26T06:09:22Z,1.65,2.25
1630ce3cc41f6ca1d41025b60de0aee4,2026-05-31T06:05:00Z,Raiders,Cowboys,betfair_ex_au,h2h,2026-05-26T06:09:41Z,1.74,2.2
1630ce3cc41f6ca1d41025b60de0aee4,2026-05-31T06:05:00Z,Raiders,Cowboys,playup,h2h,2026-05-26T06:09:04Z,1.65,2.2
1630ce3cc41f6ca1d41025b60de0aee4,2026-05-31T06:05:00Z,Raiders,Cowboys,unibet,h2h,2026-05-26T06:10:00Z,1.65,2.2
1630ce3cc41f6ca1d41025b60de0aee4,2026-05-31T06:05:00Z,Raiders,Cowboys,tabtouch,h2h,2026-05-26T06:09:40Z,1.66,2.23
45b09fe5baf5d551a160de31fb51c646,2026-05-31T08:15:00Z,Panthers,Warriors,sportsbet,h2h,2026-05-26T06:10:04Z,1.64,2.26
45b09fe5baf5d551a160de31fb51c646,2026-05-31T08:15:00Z,Panthers,Warriors,tab,h2h,2026-05-26T06:09:59Z,1.58,2.35
45b09fe5baf5d551a160de31fb51c646,2026-05-31T08:15:00Z,Panthers,Warriors,pointsbetau,h2h,2026-05-26T06:09:22Z,1.55,2.4
45b09fe5baf5d551a160de31fb51c646,2026-05-31T08:15:00Z,Panthers,Warriors,neds,h2h,2026-05-26T06:09:22Z,1.7,2.15
45b09fe5baf5d551a160de31fb51c646,2026-05-31T08:15:00Z,Panthers,Warriors,ladbrokes_au,h2h,2026-05-26T06:09:23Z,1.7,2.15
45b09fe5baf5d551a160de31fb51c646,2026-05-31T08:15:00Z,Panthers,Warriors,betright,h2h,2026-05-26T06:09:59Z,1.55,2.45
45b09fe5baf5d551a160de31fb51c646,2026-05-31T08:15:00Z,Panthers,Warriors,betr_au,h2h,2026-05-26T06:09:58Z,1.5,2.6
45b09fe5baf5d551a160de31fb51c646,2026-05-31T08:15:00Z,Panthers,Warriors,betfair_ex_au,h2h,2026-05-26T06:09:41Z,1.5,2.1
45b09fe5baf5d551a160de31fb51c646,2026-05-31T08:15:00Z,Panthers,Warriors,playup,h2h,2026-05-26T06:09:04Z,1.57,2.35
45b09fe5baf5d551a160de31fb51c646,2026-05-31T08:15:00Z,Panthers,Warriors,unibet,h2h,2026-05-26T06:10:00Z,1.56,2.4
45b09fe5baf5d551a160de31fb51c646,2026-05-31T08:15:00Z,Panthers,Warriors,tabtouch,h2h,2026-05-26T06:09:40Z,1.56,2.43
